ردیف,تاریخ,زمان,توضیحات,واریز,برداشت,مانده,هزینه,فاکتور,دریافت,پرداخت,ثبت ک,پرداخت ک,مبلغ ک,شرح
0,05.03.28,0:39:35,واریز سود | ,"72,575",0,"170,974,439",,,,,,,,
1,05.04.27,6:34:45,مركزشاپرك | 50426052130000000203438036107 | شرح : 050426052130000000203438036107ACH1مركزشاپرك | واریزپایا | ,"30,000,000",0,"200,974,439",,,,,,,,
2,05.04.27,6:34:45,كارمزدPOS | ,0,"6,000","200,968,439",,,,,,,6000,کارمزد
3,05.04.28,23:57:00,واریز سود | ,"72,606",0,"201,041,045",,,,,,,,سود بانکی
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,خروجی از 1405/03/27 تا تاریخ 1405/05/25,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ردیف,تاریخ,زمان,توضیحات,واریز,برداشت,مانده,هزینه,فاکتور,دریافت,پرداخت,ثبت ک,پرداخت ک,مبلغ ک,شرح
24,5/2/2028,0:34:45,واریز سود | ,"228,070",0,"537,296,401",,,,,,,,
